experiment	item	condition	conditionlabel	tasklabel	content	word	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd
habitual	27	1	h1	dfd  	s_a             	ASOD                                                                                        	ASOD. PLEASE SAY ASOD AGAIN.                                                                                                                                                                                  	ASOD. PLEASE SAY ASOD AGAIN.                                                                	ASOD. PLEASE SAY ASOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	11	11	habitual_2_27_1.wav	3.6673	07-May-2018	17:23:18	17:23:21	
habitual	15	1	h1	dfd  	d_a             	ADOD                                                                                        	ADOD. PLEASE SAY ADOD AGAIN.                                                                                                                                                                                  	ADOD. PLEASE SAY ADOD AGAIN.                                                                	ADOD. PLEASE SAY ADOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	12	12	habitual_2_15_1.wav	3.8462	07-May-2018	17:23:22	17:23:26	
habitual	31	1	h1	dfd  	sh_a            	ASHOD                                                                                       	ASHOD. PLEASE SAY ASHOD AGAIN.                                                                                                                                                                                	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	13	13	habitual_2_31_1.wav	3.6269	07-May-2018	17:23:26	17:23:30	
habitual	60	1	h1	pic  	pic             	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                                                                                                                                             	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                           	Fixed	y	1	instructions_h1.txt	2	1	14	14	habitual_2_60_1.wav	46.5091	07-May-2018	17:23:30	17:24:17	
habitual	56	1	h1	sit  	6 word sentence 	SIT SENTENCE4: 6 words                                                                      	6A. We knew we weren't doing well.                                                                                                                                                                            	SIT SENTENCE4: 6 words                                                                      	SIT SENTENCE4: 6 words                                                                      	Fixed	y	1	instructions_h1.txt	2	1	15	15	habitual_2_56_1.wav	6.5878	07-May-2018	17:24:17	17:24:24	
habitual	57	1	h1	sit  	8 word sentence 	SIT SENTENCE5: 8 words                                                                      	8A. Do you know what the yards look like?                                                                                                                                                                     	SIT SENTENCE5: 8 words                                                                      	SIT SENTENCE5: 8 words                                                                      	Fixed	y	1	instructions_h1.txt	2	1	16	16	habitual_2_57_1.wav	4.2621	07-May-2018	17:24:24	17:24:29	
habitual	58	1	h1	sit  	10 word sentence	SIT SENTENCE6: 10 words                                                                     	10A. You simply present your case as clearly as you can.                                                                                                                                                      	SIT SENTENCE6: 10 words                                                                     	SIT SENTENCE6: 10 words                                                                     	Fixed	y	1	instructions_h1.txt	2	1	17	17	habitual_2_58_1.wav	5.8081	07-May-2018	17:24:29	17:24:35	
habitual	35	1	h1	dfd  	z_a             	AZOD                                                                                        	AZOD. PLEASE SAY AZOD AGAIN.                                                                                                                                                                                  	AZOD. PLEASE SAY AZOD AGAIN.                                                                	AZOD. PLEASE SAY AZOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	18	18	habitual_2_35_1.wav	3.8804	07-May-2018	17:24:35	17:24:39	
habitual	29	1	h1	dfd  	sh_i            	ASHEED                                                                                      	ASHEED. PLEASE SAY ASHEED AGAIN.                                                                                                                                                                              	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	Fixed	y	1	instructions_h1.txt	2	1	19	19	habitual_2_29_1.wav	4.1936	07-May-2018	17:24:39	17:24:44	
habitual	19	1	h1	dfd  	k_a             	AKOD                                                                                        	AKOD. PLEASE SAY AKOD AGAIN.                                                                                                                                                                                  	AKOD. PLEASE SAY AKOD AGAIN.                                                                	AKOD. PLEASE SAY AKOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	20	20	habitual_2_19_1.wav	3.8155	07-May-2018	17:25:02	17:25:06	
habitual	44	1	h1	dfd  	m_a             	AMOD                                                                                        	AMOD. PLEASE SAY AMOD AGAIN.                                                                                                                                                                                  	AMOD. PLEASE SAY AMOD AGAIN.                                                                	AMOD. PLEASE SAY AMOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	21	21	habitual_2_44_1.wav	3.6406	07-May-2018	17:25:06	17:25:10	
habitual	33	1	h1	dfd  	z_i             	AZEED                                                                                       	AZEED. PLEASE SAY AZEED AGAIN.                                                                                                                                                                                	AZEED. PLEASE SAY AZEED AGAIN.                                                              	AZEED. PLEASE SAY AZEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	22	22	habitual_2_33_1.wav	5.8715	07-May-2018	17:25:10	17:25:16	
habitual	12	1	h1	dfd  	t_u             	ATUDE                                                                                       	ATUDE. PLEASE SAY ATUDE AGAIN.                                                                                                                                                                                	ATUDE. PLEASE SAY ATUDE AGAIN.                                                              	ATUDE. PLEASE SAY ATUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	23	23	habitual_2_12_1.wav	5.3882	07-May-2018	17:25:16	17:25:22	
habitual	9	1	h1	dfd  	t_i             	ATEED                                                                                       	ATEED. PLEASE SAY ATEED AGAIN.                                                                                                                                                                                	ATEED. PLEASE SAY ATEED AGAIN.                                                              	ATEED. PLEASE SAY ATEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	24	24	habitual_2_9_1.wav	3.5684	07-May-2018	17:25:22	17:25:25	
habitual	39	1	h1	dfd  	th_a            	ATHOD                                                                                       	ATHOD. PLEASE SAY ATHOD AGAIN.                                                                                                                                                                                	ATHOD. PLEASE SAY ATHOD AGAIN.                                                              	ATHOD. PLEASE SAY ATHOD AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	25	25	habitual_2_39_1.wav	3.6874	07-May-2018	17:25:26	17:25:29	
habitual	46	1	h1	dfd  	l_a             	ALOD                                                                                        	ALOD. PLEASE SAY ALOD AGAIN.                                                                                                                                                                                  	ALOD. PLEASE SAY ALOD AGAIN.                                                                	ALOD. PLEASE SAY ALOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	26	26	habitual_2_46_1.wav	10.0049	07-May-2018	17:25:30	17:25:40	
habitual	32	1	h1	dfd  	sh_u            	ASHUDE                                                                                      	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                                                                                                                                              	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	Fixed	y	1	instructions_h1.txt	2	1	27	27	habitual_2_32_1.wav	3.78	07-May-2018	17:25:40	17:25:44	
habitual	26	1	h1	dfd  	s_ae            	ASAD                                                                                        	ASAD. PLEASE SAY ASAD AGAIN.                                                                                                                                                                                  	ASAD. PLEASE SAY ASAD AGAIN.                                                                	ASAD. PLEASE SAY ASAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	28	28	habitual_2_26_1.wav	24.7291	07-May-2018	17:25:44	17:26:09	
habitual	38	1	h1	dfd  	v_a             	AVOD                                                                                        	AVOD. PLEASE SAY AVOD AGAIN.                                                                                                                                                                                  	AVOD. PLEASE SAY AVOD AGAIN.                                                                	AVOD. PLEASE SAY AVOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	29	29	habitual_2_38_1.wav	3.7746	07-May-2018	17:26:10	17:26:13	
